HandID,Board,Winner,WinType,Pot,h_Hole,r_Hole,h_Bucket,r_Bucket,h_Action,r_Action,h_Delta,r_Delta
7108,6♠Q♦J♥A♠7♠,h_bot,showdown,580,Q♣T♦,K♠4♦,QTo,K4o,fold,call,783,-800
7109,2♣9♠7♣Q♠A♠,r_bot,showdown,210,8♣J♠,7♦K♦,J8o,K7s,fold,fold,773,-790
7110,A♦4♠9♥T♥7♥,h_bot|r_bot,split,500,4♥2♠,4♣8♠,42o,84o,fold,call,733,-750
7111,3♦2♦6♠9♥5♣,r_bot,showdown,260,5♦Q♣,6♣A♦,Q5o,A6o,fold,fold,723,-740
7112,Q♣J♣5♦A♠3♣,r_bot,showdown,300,K♣Q♠,7♥A♦,KQo,A7o,fold,fold,433,-450
7113,2♠K♥K♦Q♠T♦,h_bot,showdown,300,Q♣7♥,T♣3♦,Q7o,T3o,fold,call,723,-740
7114,4♠8♥Q♦5♣9♠,r_bot,showdown,550,2♥T♦,Q♠9♥,T2o,Q9o,fold,call,433,-450
7115,8♠3♣A♣8♦4♦,h_bot,showdown,300,3♠3♥,5♦6♥,33,65o,fold,call,723,-740
7116,4♠7♠J♥3♣4♦,h_bot,showdown,550,A♦2♣,T♦Q♦,A2o,QTs,fold,call,983,-1000
7117,6♦2♠9♠6♥5♠,h_bot,showdown,10,6♠4♦,T♥A♣,64o,ATo,fold,call,983,-1000
7118,5♠3♥3♦2♥Q♠,h_bot,showdown,290,9♦7♣,7♠4♣,97o,74o,fold,call,983,-1000
7119,3♥J♣K♣5♥4♠,h_bot,showdown,340,8♥A♥,8♠6♠,A8s,86s,raise,call,983,-1000
7120,7♥A♥9♥9♦5♦,h_bot,showdown,340,5♣T♦,3♥4♦,T5o,43o,fold,raise,983,-1000
7121,J♠8♦4♣K♣K♦,h_bot,showdown,60,A♥Q♠,6♦2♦,AQo,62s,raise,fold,983,-1000
7122,4♠6♣Q♠9♦3♥,r_bot,showdown,110,J♦T♦,7♠K♥,JTs,K7o,raise,call,873,-890
7123,8♦7♠Q♥8♠T♣,r_bot,showdown,120,3♣9♥,4♣A♣,93o,A4s,fold,call,863,-880
7124,4♦4♥9♣3♣6♦,r_bot,showdown,220,2♦3♦,K♣4♣,32s,K4s,fold,call,753,-770
7125,7♥6♠9♦4♥A♣,h_bot,showdown,120,K♦5♥,2♦J♣,K5o,J2o,fold,call,863,-880
7126,Q♦8♦5♠Q♣K♣,h_bot,showdown,220,4♥4♠,2♥7♣,44,72o,fold,call,973,-990
7127,J♥7♥5♣2♦4♣,h_bot,showdown,20,5♥3♠,A♣9♣,53o,A9s,fold,fold,983,-1000
7128,Q♣8♦9♠8♥5♣,h_bot,showdown,110,A♣T♥,3♠2♦,ATo,32o,fold,raise,983,-1000
7129,2♥K♥9♠6♣2♦,r_bot,showdown,10,4♦J♣,J♠2♣,J4o,J2o,fold,call,973,-990
7130,7♦7♣9♥6♥4♣,h_bot,showdown,60,A♦3♠,2♠3♥,A3o,32o,raise,call,983,-1000
7131,A♦3♠K♥Q♥5♣,r_bot,showdown,10,6♥9♥,K♦4♠,96s,K4o,fold,call,973,-990
7132,T♥2♣3♦2♥9♣,h_bot,showdown,60,7♥9♠,A♥5♦,97o,A5o,fold,call,983,-1000
7133,7♦9♥J♣8♦4♥,r_bot,showdown,100,5♥9♦,Q♣T♦,95o,QTo,raise,call,883,-900
7134,8♣A♥9♣8♥K♣,r_bot,showdown,110,5♥J♠,K♥T♣,J5o,KTo,fold,fold,783,-800
7135,A♦T♣2♣5♠6♥,h_bot,showdown,110,7♣7♠,8♠5♦,77,85o,fold,call,883,-900
7136,9♦2♠8♣7♠Q♣,h_bot,showdown,110,T♣Q♠,4♠J♦,QTo,J4o,fold,fold,893,-910
7137,4♠2♠2♦4♦T♣,h_bot,showdown,100,J♦T♠,3♣Q♦,JTo,Q3o,fold,call,983,-1000
7138,7♣2♠7♦A♣3♦,h_bot,showdown,100,K♦9♦,6♣J♥,K9s,J6o,fold,fold,983,-1000
7139,8♠6♥9♣8♥T♣,h_bot,showdown,10,J♦7♣,K♦K♠,J7o,KK,fold,call,983,-1000
7140,T♦6♠Q♠K♥K♠,h_bot,showdown,150,A♠8♥,2♣4♣,A8o,42s,raise,call,983,-1000
7141,J♣4♣A♦J♦8♦,h_bot,showdown,200,A♠2♠,6♥5♦,A2s,65o,raise,call,983,-1000
7142,T♣6♥6♣8♥2♦,r_bot,showdown,250,3♦K♣,9♣A♣,K3o,A9s,raise,call,733,-750
7143,2♦Q♦7♣5♣2♠,h_bot,showdown,550,3♦A♣,J♠4♥,A3o,J4o,raise,raise,983,-1000
7144,9♥8♦7♠T♦2♦,h_bot,showdown,250,J♠K♦,5♠9♠,KJo,95s,fold,raise,983,-1000
